id,title,pm,date,release_type,subjects,pdf
23830,"Interview with Neil Mitchell, Radio 3AW, Melbourne","Abbott, Tony",2014-09-16,Transcript,"Australian Defence Force contribution to international coalition against ISIL, cracking down on terrorism financing, constitutional recognition for the first Australians, East West Link.",https://pmtranscripts.pmc.gov.au
22316,Nuclear Review: Taskforce Membership,"Howard, John",2006-06-07,Media Release,,https://pmtranscripts.pmc.gov.au
12395,"Address to the National Seniors Association, Melbourne","Howard, John",2001-05-29,Speech,,https://pmtranscripts.pmc.gov.au
2858,DOUBLE TAXATION AGREEMENTS,"Whitlam, Gough",1973-03-20,Media Release,,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00002858.pdf
45673,Radio interview - Triple M Newcastle,"Albanese, Anthony",2024-02-16,Transcript,"Prime Minister and Jodie Haydon&#039;s Engagement, Medicare Urgent Care Clinics, Visit to Newcastle, Renewable Energy and Manufacturing in Australia, South Sydney Rabbitohs",https://pmtranscripts.pmc.gov.au
9173,"TRANSCRIPT OF THE PRIME MINISTER, THE HON. PJ KEATING MP INTERVIEW WITH JULIE FLYNN, RADIO 2UE 4 APRIL 1994","Keating, Paul",1994-04-04,Interview,,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00009173.pdf
47545,Joint media statement - Melbourne,"Albanese, Anthony",2026-07-10,Media statement,Australia-India expanded sporting ties,https://pmtranscripts.pmc.gov.au
514,WEEK ENDING 19TH MAY. 1962 INDEX OF MINISTERIAL STATEMENTS ISSUED IN CANBERRA,"Menzies, Robert",1962-05-19,Index,,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00000514.pdf
24180,"Press Statement, Sydney","Abbott, Tony",2015-02-08,Transcript,,https://pmtranscripts.pmc.gov.au
46698,Building Australia’s future,"Albanese, Anthony",2025-03-25,Media Release,,https://pmtranscripts.pmc.gov.au
9069,STATEMENT BY THE PRIME MINISTER THE HON. P.J. KEATING WORK FOR AUSTRALIA - LODGE FUNCTION,"Keating, Paul",1993-12-05,Media Release,,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00009069.pdf
2871,THE PRIME MINISTER&#039;S VISIT TO LONDON,"Whitlam, Gough",1973-03-27,Media Release,,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00002871.pdf
23055,"Joint Doorstop Interview , Wynyard","Abbott, Tony",2013-10-25,Transcript,"Government’s economic growth plan for Tasmania, Simplot Australia, Government’s commitment to upgrade the Midland Highway, one stop shop for environmental approvals.",https://pmtranscripts.pmc.gov.au
43616,"Interview with Ray Hadley, 2GB","Morrison, Scott",2021-10-22,Transcript,,https://pmtranscripts.pmc.gov.au
17354,Prime Minister Speech to Micah Challenge Voices for Justice Signiture Event Canberra 21 June 2010,"Rudd, Kevin",2010-06-21,Speech,,https://pmtranscripts.pmc.gov.au
1745,"FOR PRESS: NEW ZEALAND BUTTER IN AUSTRALIA - STATEMENT BY THE PRIME MINISTER AND MINISTER FOR TRADE AND INDUSTRY (MR. J. MCEWEN), REPLYING TO SUGGESTIONS THAT NEW ZEALAND BUTTER MIGHT BE IMPORTED TO AUSTRALIA","McEwen, John",1967-12-24,Media Release,,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00001745.pdf
47381,Government securing more fuel reserves - the Australian Fuel Security and Resilience package,"Albanese, Anthony",2026-05-06,Media Release,,https://pmtranscripts.pmc.gov.au
7849,SPEECH BY THE PRIME MINISTER NATIONAL PRESS CLUB CANBERRA - 7 DECEMBER 1989,"Hawke, Robert",1989-12-07,Speech,,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00007849.pdf
12656,"TRANSCRIPT OF THE PRIME MINISTER    THE HON JOHN HOWARD MP    DOORSTOP INTERVIEW, NEW YORK","Howard, John",2002-01-28,Interview,,https://pmtranscripts.pmc.gov.au
6267,TRANSCRIPT - PRIME MINISTER&#039;S PRESS CONFERENCE - 17 NOVEMBER 1983,"Hawke, Robert",1983-11-17,Press Conference,,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00006267.pdf
40756,Doorstop at Wreath Laying Ceremony in Arrowtown,"Turnbull, Malcolm",2017-02-17,Transcript,,https://pmtranscripts.pmc.gov.au
1343,"PRIME MINISTER&#039;S VISIT TO US AND UK - PRESS CONFERENCE GIVEN BY THE PRIME MINISTER, MR HAROLD HOLT, AT BLAIR HOUSE, WASHINGTON - 1ST JULY 1966","Holt, Harold",1966-07-01,Press Conference,,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00001343_0.pdf
3791,TRANSFER OF TASMANIAN GOVERNMENT RAILWAYS TO AUSTRALIAN GOVERNMENT,"Whitlam, Gough",1975-06-20,Media Release,,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00003791.pdf
15482,A Wellbeing Plan for Australian Children,"Howard, John",2007-09-21,Media Release,,https://pmtranscripts.pmc.gov.au
19093,New Q20 Group To Maximise G20 Benefits For Queensland,"Gillard, Julia",2013-02-27,Media Release,,https://pmtranscripts.pmc.gov.au
21670,Funeral of His Holiness Pope John Paul II,"Howard, John",2005-04-05,Media Release,,https://pmtranscripts.pmc.gov.au
44452,10 Everyday Australians To Attend Her Majesty Queen Elizabeth II&#039;s State Funeral,"Albanese, Anthony",2022-09-13,Media Release,,https://pmtranscripts.pmc.gov.au
8322,UNKNOWN,"Hawke, Robert",1991-08-23,Media Release,,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00008322.pdf
16457,"Joint Press Conference with Iraq Prime Minister Nouri Al-Maliki Prime Minister&#039;s Courtyard, Parliament House","Rudd, Kevin",2009-03-12,Interview,,https://pmtranscripts.pmc.gov.au
45662,Press conference - Hawthorn Football Club Kennedy Centre sod turn,"Albanese, Anthony",2024-02-10,Transcript,"Hawthorn Football Club Kennedy Community Centre, Industrial Relations Legislation, Bigger Tax Cuts for More Australians, Increasing Housing Supply, Dunkley By-Election",https://pmtranscripts.pmc.gov.au
12898,"TRANSCRIPT OF THE PRIME MINISTER  THE HON JOHN HOWARD MP  ADDRESS TO THE CANBERRA AND REGION FOCUS ON BUSINESS    DINNER, GREAT HALL, PARLIAMENT HOUSE","Howard, John",2002-03-11,Speech,,https://pmtranscripts.pmc.gov.au
7799,"TRANSCRIPT OF NEWS CONFERENCE, PARLIAMENT HOUSE, 6 NOVEMBER 1989","Hawke, Robert",1989-11-06,Speech,,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00007799.pdf
22846,"Interview with Philip Clarke, Radio 2BL","Howard, John",2000-07-26,Interview,,https://pmtranscripts.pmc.gov.au
42860,"Press Conference - West Pennant Hills, NSW","Morrison, Scott",2020-06-22,Transcript,,https://pmtranscripts.pmc.gov.au
4186,ADDRESS TO THE NATION - MEDIBANK,"Fraser, Malcolm",1976-07-11,Media Release,,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00004186.pdf
15922,Government to Tackle Congestion and Improve Liveability for Melbourne,"Rudd, Kevin",2008-05-21,Media Release,,https://pmtranscripts.pmc.gov.au
41568,Response to targeted strikes in Syria,"Turnbull, Malcolm",2018-04-14,Media Release,,https://pmtranscripts.pmc.gov.au
46615,Radio interview - 2GB Breakfast,"Albanese, Anthony",2025-02-25,Transcript,Red Nose Australia,https://pmtranscripts.pmc.gov.au
22875,"Press Conference, Parliament House, Canberra","Howard, John",2000-08-01,Interview,,https://pmtranscripts.pmc.gov.au
16803,Swearing in of Tony Negus  as Commissioner of Australian Federal Police Parliament House Canberra,"Rudd, Kevin",2009-09-07,Speech,,https://pmtranscripts.pmc.gov.au
22474,"Interview with Neil Mitchell Radio 3AW, Melbourne","Howard, John",2006-09-15,Interview,,https://pmtranscripts.pmc.gov.au
43360,Helping communities rebuild and recover from natural disasters,"Morrison, Scott",2021-05-05,Media Release,,https://pmtranscripts.pmc.gov.au
24707,Honouring the Diamonds,"Abbott, Tony",2015-08-17,Media Release,,https://pmtranscripts.pmc.gov.au
7943,SPEECH FOR THE PRIME MINISTER OPENING OF NEW THEATRE BLOCK R.G.H. CONCORD - 7 MARCH 1990,"Hawke, Robert",1990-03-06,Speech,,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00007943.pdf
18157,Visit by Her Majesty The Queen and His Royal Highness The Duke of Edinburgh,"Gillard, Julia",2011-09-24,Media Release,,https://pmtranscripts.pmc.gov.au
1971,"FOR PRESS: P.M. NO. 102/1968 - VISIT BY THEIR ROYAL HIGHNESS THE DUKE AND DUCHESS OF KENT - STATEMENT BY THE PRIME MINISTER, MR. JOHN GORTON","Gorton, John",1968-12-30,Media Release,,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00001971.pdf
42057,Joint Statement with the Prime Minister of Vanuatu,"Morrison, Scott",2019-01-16,Media Release,,https://pmtranscripts.pmc.gov.au
47352,Appointment of new Secretary of the Department of Defence,"Albanese, Anthony",2026-04-28,Media Release,,https://pmtranscripts.pmc.gov.au
44399,Press Conference - Sydney,"Albanese, Anthony",2022-08-26,Transcript,Establishment of inquiry into the appointment of Scott Morrison to multiple departments,https://pmtranscripts.pmc.gov.au
10385,"Doorstop Interview, No 10 Downing St, London","Howard, John",1997-06-19,Interview,,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00010385.pdf
47339,Press conference - Port Botany,"Albanese, Anthony",2026-04-21,Transcript,"Fuel Supply, National Fuel Security Plan, Export Finance Australia, National Cabinet, Federal Budget, NDIS, Housing, Cut to Fuel Excise, Middle East Conflict",https://pmtranscripts.pmc.gov.au
8720,"STATEMENT BY THE PRIME MINISTER, THE HON P J KEATING MP COMMEMORATIVE MISSION TO FRENCH BATTLEFIELDS","Keating, Paul",1992-11-11,Media Release,,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00008720.pdf
20674,"Interview with John Laws, Radio 2UE","Howard, John",2003-06-04,Interview,,https://pmtranscripts.pmc.gov.au
11215,"Joint Statement with His Excellency Mr Jiang Zemin, President of the People’s Republic of China, Parliament House","Howard, John",1999-09-08,Interview,"Bilateral relations with China, One China policy, China’s WTO involvement, East Timor, Taiwan.",https://pmtranscripts.pmc.gov.au
2745,ABORIGINAL GRANTS - 13 DECEMBER 1972,"Whitlam, Gough",1972-12-13,Media Release,,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00002745.pdf
4443,"MINISTER FOR SPECIAL TRADE NEGOTIATIONS, 17 JULY 1977","Fraser, Malcolm",1977-07-17,Media Release,,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00004443.pdf
47596,Joint statement on deepening economic engagement between Australia and Thailand,"Albanese, Anthony",2026-08-19,Joint Statement,,https://pmtranscripts.pmc.gov.au
20931,"Interview with Liam Bartlett ABC Radio, Perth","Howard, John",2003-09-30,Interview,,https://pmtranscripts.pmc.gov.au
47233,Radio interview - Nova Melbourne,"Albanese, Anthony",2026-02-19,Transcript,"Winter Olympics, Australia-Canada Relationship, Prime Minister&#039;s Wedding, Victorian Election, Infrastructure, AFL",https://pmtranscripts.pmc.gov.au
18611,Households receive $1 billion in assistance,"Gillard, Julia",2012-06-11,Interview,,https://pmtranscripts.pmc.gov.au
11508,"Press Conference at the Launch of the Defence Discussion Paper, Mural Hall, Parliament House, Canberra","Howard, John",2000-06-27,Interview,,https://pmtranscripts.pmc.gov.au
3434,RELEASE OF INDUSTRIES ASSISTANCE COMMISSION REPORT - DIESEL ENGINES,"Whitlam, Gough",1974-10-25,Media Release,,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00003434.pdf
43147,UK Policy Exchange Q&amp;A,"Morrison, Scott",2020-11-23,Transcript,,https://pmtranscripts.pmc.gov.au
